,location,size_BHK,total_sqft,bathroom,price_lakhs
60,5th Phase JP Nagar,3,1485.0,2.0,67.0
61,5th Phase JP Nagar,5,2500.0,5.0,110.0
62,5th Phase JP Nagar,1,600.0,1.0,30.0
63,5th Phase JP Nagar,2,1390.0,2.0,65.0
64,5th Phase JP Nagar,2,1256.0,2.0,62.8
65,5th Phase JP Nagar,2,1000.0,2.0,48.0
66,5th Phase JP Nagar,3,1350.0,2.0,75.0
67,5th Phase JP Nagar,1,552.0,1.0,23.5
68,5th Phase JP Nagar,2,1200.0,2.0,51.0
69,5th Phase JP Nagar,3,1240.0,3.0,60.0
70,5th Phase JP Nagar,3,1550.0,3.0,75.0
71,5th Phase JP Nagar,3,1485.0,2.0,66.0
72,5th Phase JP Nagar,2,1030.0,2.0,57.0
73,5th Phase JP Nagar,2,1200.0,2.0,68.0
74,5th Phase JP Nagar,2,1190.0,2.0,61.8
75,5th Phase JP Nagar,5,4000.0,5.0,170.0
76,5th Phase JP Nagar,2,1080.0,2.0,53.0
77,5th Phase JP Nagar,2,1041.0,2.0,54.0
78,5th Phase JP Nagar,2,812.0,2.0,42.0
79,5th Phase JP Nagar,2,1010.0,2.0,57.0
80,5th Phase JP Nagar,3,1450.0,2.0,73.0
81,5th Phase JP Nagar,2,1075.0,2.0,60.0
82,6th Phase JP Nagar,2,1192.0,2.0,74.0
83,6th Phase JP Nagar,2,1180.0,2.0,80.0
84,6th Phase JP Nagar,4,3245.0,4.0,250.0
85,6th Phase JP Nagar,3,1645.0,3.0,100.0
86,6th Phase JP Nagar,2,1140.0,2.0,65.0
87,6th Phase JP Nagar,3,2040.0,3.0,200.0
88,6th Phase JP Nagar,2,1213.0,2.0,63.0
89,6th Phase JP Nagar,2,1216.0,2.0,60.0
90,6th Phase JP Nagar,2,1460.0,2.0,80.0
91,6th Phase JP Nagar,3,2003.0,3.0,200.0
92,6th Phase JP Nagar,3,1810.0,3.0,131.0
93,6th Phase JP Nagar,3,1515.0,2.0,135.0
94,6th Phase JP Nagar,2,1192.0,2.0,75.0
95,6th Phase JP Nagar,2,1280.0,2.0,88.0
96,7th Phase JP Nagar,2,1080.0,2.0,72.0
97,7th Phase JP Nagar,2,1270.0,2.0,93.0
98,7th Phase JP Nagar,3,1420.0,2.0,100.0
99,7th Phase JP Nagar,3,1850.0,3.0,150.0
100,7th Phase JP Nagar,2,1245.0,2.0,94.0
101,7th Phase JP Nagar,2,1175.0,2.0,82.0
102,7th Phase JP Nagar,3,1400.0,2.0,95.0
103,7th Phase JP Nagar,3,2225.0,3.0,160.0
104,7th Phase JP Nagar,2,1050.0,2.0,71.0
105,7th Phase JP Nagar,2,1100.0,2.0,46.0
106,7th Phase JP Nagar,2,918.0,2.0,50.49
107,7th Phase JP Nagar,3,1450.0,2.0,100.0
108,7th Phase JP Nagar,2,1190.0,2.0,49.98
109,7th Phase JP Nagar,3,1420.0,2.0,96.0
110,7th Phase JP Nagar,3,1680.0,3.0,120.0
111,7th Phase JP Nagar,2,980.0,2.0,69.0
112,7th Phase JP Nagar,2,1180.0,2.0,72.0
113,7th Phase JP Nagar,3,1050.0,2.0,57.0
114,7th Phase JP Nagar,3,1343.0,2.0,56.41
115,7th Phase JP Nagar,3,1405.0,2.0,59.01
116,7th Phase JP Nagar,3,1400.0,3.0,115.0
117,7th Phase JP Nagar,2,1270.0,2.0,83.0
118,7th Phase JP Nagar,4,3300.0,4.0,150.0
119,7th Phase JP Nagar,4,2503.0,4.0,188.0
120,7th Phase JP Nagar,3,2200.0,3.0,190.0
121,7th Phase JP Nagar,3,1250.0,3.0,65.0
122,7th Phase JP Nagar,3,1385.0,2.0,58.17
123,7th Phase JP Nagar,3,1575.0,2.0,110.0
124,7th Phase JP Nagar,3,1850.0,3.0,140.0
125,7th Phase JP Nagar,3,1575.0,2.0,120.0
126,7th Phase JP Nagar,3,1850.0,3.0,150.0
127,7th Phase JP Nagar,3,1680.0,3.0,120.0
128,7th Phase JP Nagar,2,1175.0,2.0,82.5
129,7th Phase JP Nagar,3,3300.0,4.0,160.0
130,7th Phase JP Nagar,3,2200.0,4.0,105.0
131,7th Phase JP Nagar,2,1215.0,2.0,90.0
132,7th Phase JP Nagar,2,1050.0,2.0,75.0
133,7th Phase JP Nagar,3,1300.0,3.0,89.13
134,7th Phase JP Nagar,2,1130.0,2.0,73.0
135,7th Phase JP Nagar,3,1450.0,3.0,100.0
136,7th Phase JP Nagar,3,1350.0,3.0,58.0
137,7th Phase JP Nagar,2,1050.0,2.0,50.0
138,7th Phase JP Nagar,2,1275.0,2.0,87.0
139,7th Phase JP Nagar,3,1460.0,3.0,70.0
140,7th Phase JP Nagar,3,1650.0,3.0,110.0
141,7th Phase JP Nagar,2,850.0,2.0,42.0
142,7th Phase JP Nagar,3,1680.0,3.0,117.0
143,7th Phase JP Nagar,3,1850.0,3.0,150.0
144,7th Phase JP Nagar,2,1236.0,2.0,61.33
145,7th Phase JP Nagar,2,1000.0,2.0,53.0
146,7th Phase JP Nagar,3,1680.0,3.0,125.0
147,7th Phase JP Nagar,3,1675.0,2.0,135.0
148,7th Phase JP Nagar,2,1187.0,2.0,59.0
149,7th Phase JP Nagar,3,1850.0,3.0,155.0
150,7th Phase JP Nagar,2,1000.0,2.0,61.0
151,7th Phase JP Nagar,3,1460.0,2.0,100.0
152,7th Phase JP Nagar,3,1650.0,3.0,110.0
153,7th Phase JP Nagar,2,1200.0,2.0,62.5
154,7th Phase JP Nagar,2,1000.0,2.0,70.65
155,7th Phase JP Nagar,2,1080.0,2.0,75.0
156,7th Phase JP Nagar,3,1415.0,3.0,65.0
157,7th Phase JP Nagar,3,1680.0,3.0,125.0
158,7th Phase JP Nagar,3,1460.0,2.0,97.0
159,7th Phase JP Nagar,2,1120.0,2.0,65.0
160,7th Phase JP Nagar,2,1100.0,3.0,60.0
161,7th Phase JP Nagar,3,1790.0,3.0,120.0
162,7th Phase JP Nagar,3,1680.0,3.0,117.0
163,7th Phase JP Nagar,2,1050.0,2.0,77.0
164,7th Phase JP Nagar,2,1050.0,2.0,75.0
165,7th Phase JP Nagar,2,1040.0,2.0,75.0
166,7th Phase JP Nagar,3,1400.0,2.0,95.0
167,7th Phase JP Nagar,3,1800.0,3.0,130.0
168,7th Phase JP Nagar,2,1050.0,2.0,68.0
169,7th Phase JP Nagar,2,1000.0,2.0,60.0
170,7th Phase JP Nagar,3,1680.0,3.0,125.0
171,7th Phase JP Nagar,2,1050.0,2.0,77.47
172,7th Phase JP Nagar,2,1270.0,2.0,80.0
173,7th Phase JP Nagar,3,1463.0,2.0,61.45
174,7th Phase JP Nagar,3,1680.0,3.0,122.0
175,7th Phase JP Nagar,2,1130.0,2.0,85.0
176,7th Phase JP Nagar,3,1680.0,3.0,130.0
177,7th Phase JP Nagar,2,980.0,2.0,77.44
178,7th Phase JP Nagar,3,1680.0,3.0,112.0
179,7th Phase JP Nagar,3,1515.0,2.0,76.0
180,7th Phase JP Nagar,3,2095.0,3.0,150.0
181,7th Phase JP Nagar,3,1976.0,3.0,145.0
182,7th Phase JP Nagar,3,1600.0,2.0,110.0
183,7th Phase JP Nagar,3,1765.0,3.0,118.0
184,7th Phase JP Nagar,3,1275.0,2.0,88.0
185,7th Phase JP Nagar,3,1450.0,2.0,102.0
186,7th Phase JP Nagar,3,1575.0,2.0,110.0
187,7th Phase JP Nagar,3,1075.0,2.0,57.0
188,7th Phase JP Nagar,1,750.0,1.0,47.0
189,7th Phase JP Nagar,2,990.0,2.0,50.0
190,7th Phase JP Nagar,1,1000.0,1.0,60.0
191,7th Phase JP Nagar,3,1680.0,2.0,92.0
192,7th Phase JP Nagar,3,1430.0,2.0,102.0
193,7th Phase JP Nagar,2,1128.0,2.0,60.0
194,7th Phase JP Nagar,2,1140.0,2.0,57.0
195,7th Phase JP Nagar,3,1420.0,3.0,90.0
196,7th Phase JP Nagar,2,1530.0,2.0,108.0
197,8th Phase JP Nagar,2,1073.5,2.0,54.005
198,8th Phase JP Nagar,1,451.0,1.0,29.9
199,8th Phase JP Nagar,3,1240.0,3.0,43.5
200,8th Phase JP Nagar,2,1062.0,2.0,42.47
201,8th Phase JP Nagar,3,1230.0,2.0,43.5
202,8th Phase JP Nagar,3,1455.0,3.0,73.31
203,8th Phase JP Nagar,2,871.0,2.0,55.0
204,8th Phase JP Nagar,2,1098.0,2.0,43.91
205,8th Phase JP Nagar,3,1800.0,3.0,80.0
206,8th Phase JP Nagar,4,2700.0,4.0,130.0
207,8th Phase JP Nagar,2,1080.0,2.0,38.0
208,8th Phase JP Nagar,2,1059.0,2.0,34.5
209,8th Phase JP Nagar,2,1080.0,2.0,35.0
210,8th Phase JP Nagar,3,1275.0,2.0,41.5
211,8th Phase JP Nagar,2,1062.0,2.0,42.47
212,8th Phase JP Nagar,1,500.0,1.0,31.0
213,8th Phase JP Nagar,2,1100.0,2.0,35.0
214,8th Phase JP Nagar,4,2100.0,4.0,92.0
215,8th Phase JP Nagar,2,1035.0,2.0,39.33
216,8th Phase JP Nagar,2,909.0,2.0,40.9
217,8th Phase JP Nagar,3,1431.5,3.0,72.02
218,8th Phase JP Nagar,3,1900.0,4.0,90.0
219,8th Phase JP Nagar,1,500.0,1.0,30.0
220,8th Phase JP Nagar,2,1125.0,2.0,36.94
221,8th Phase JP Nagar,2,1100.0,2.0,35.0
222,8th Phase JP Nagar,2,1089.0,2.0,43.55
223,8th Phase JP Nagar,3,1605.0,2.0,65.0
224,8th Phase JP Nagar,3,1504.0,2.0,83.0
225,8th Phase JP Nagar,4,2600.0,4.0,115.0
226,8th Phase JP Nagar,3,1368.0,2.0,54.71
227,8th Phase JP Nagar,2,1089.0,2.0,43.55
228,8th Phase JP Nagar,3,1224.0,2.0,48.95
229,8th Phase JP Nagar,2,1513.0,2.0,62.0
230,8th Phase JP Nagar,2,1298.0,2.0,59.0
231,8th Phase JP Nagar,2,1006.0,2.0,44.0
232,8th Phase JP Nagar,1,500.0,1.0,33.0
233,8th Phase JP Nagar,2,1160.0,2.0,95.0
234,8th Phase JP Nagar,2,1245.0,2.0,59.0
235,8th Phase JP Nagar,2,1510.0,2.0,80.0
236,8th Phase JP Nagar,3,3300.0,3.0,165.0
237,8th Phase JP Nagar,5,1730.0,5.0,75.0
238,8th Phase JP Nagar,3,1296.0,2.0,51.83
239,8th Phase JP Nagar,3,1275.0,3.0,45.0
240,8th Phase JP Nagar,2,1046.0,2.0,48.0
241,8th Phase JP Nagar,3,1269.0,2.0,50.75
242,8th Phase JP Nagar,3,1408.0,3.0,80.0
243,8th Phase JP Nagar,3,1500.0,2.0,55.0
244,9th Phase JP Nagar,2,1005.0,2.0,50.0
245,9th Phase JP Nagar,3,1890.0,2.0,85.0
246,9th Phase JP Nagar,2,1100.0,2.0,65.0
247,9th Phase JP Nagar,2,1080.0,2.0,37.0
248,9th Phase JP Nagar,2,1035.0,2.0,45.0
249,9th Phase JP Nagar,4,5000.0,4.0,290.0
250,9th Phase JP Nagar,2,1164.0,2.0,56.0
251,9th Phase JP Nagar,2,1005.0,2.0,42.0
252,9th Phase JP Nagar,2,1127.0,2.0,50.0
253,9th Phase JP Nagar,2,1005.0,2.0,43.0
254,9th Phase JP Nagar,2,835.0,2.0,37.0
255,9th Phase JP Nagar,2,1050.0,2.0,39.0
256,9th Phase JP Nagar,2,660.0,2.0,27.0
257,9th Phase JP Nagar,1,600.0,1.0,20.0
258,9th Phase JP Nagar,2,1466.0,2.0,71.0
259,9th Phase JP Nagar,3,1890.0,2.0,93.0
260,9th Phase JP Nagar,2,1079.0,2.0,60.0
261,9th Phase JP Nagar,2,1480.0,2.0,80.0
262,9th Phase JP Nagar,2,1200.0,2.0,80.0
263,9th Phase JP Nagar,2,905.0,2.0,32.0
264,9th Phase JP Nagar,2,1073.0,2.0,52.36
265,9th Phase JP Nagar,3,1780.0,3.0,88.0
266,9th Phase JP Nagar,3,1300.0,2.0,58.0
267,9th Phase JP Nagar,3,1522.0,3.0,90.0
268,9th Phase JP Nagar,3,1571.0,3.0,65.0
269,9th Phase JP Nagar,4,1900.0,4.0,80.0
270,9th Phase JP Nagar,2,890.0,2.0,45.0
271,9th Phase JP Nagar,3,1240.0,2.0,39.89
272,9th Phase JP Nagar,4,5000.0,4.0,300.0
273,9th Phase JP Nagar,3,1240.0,2.0,42.85
274,9th Phase JP Nagar,2,1050.0,2.0,35.0
275,AECS Layout,2,1100.0,2.0,45.0
276,AECS Layout,2,1028.0,2.0,42.0
277,AECS Layout,2,1199.0,2.0,65.0
278,AECS Layout,2,1080.0,2.0,55.0
279,AECS Layout,2,1123.0,2.0,64.0
280,AECS Layout,2,1308.0,2.0,60.0
281,AECS Layout,2,1005.0,2.0,55.0
282,AECS Layout,3,2000.0,3.0,90.0
283,Abbigere,2,985.0,2.0,40.39
284,Abbigere,6,2200.0,6.0,68.0
285,Abbigere,1,765.0,2.0,30.0
286,Abbigere,2,880.0,2.0,35.0
287,Abbigere,2,795.0,2.0,32.54
288,Abbigere,2,1005.0,2.0,39.59
289,Abbigere,1,734.0,1.0,19.82
290,Abbigere,3,1260.0,2.0,45.0
291,Abbigere,2,1020.0,2.0,41.82
292,Abbigere,2,985.0,2.0,40.39
293,Abbigere,6,2500.0,6.0,81.0
294,Abbigere,2,795.0,2.0,32.54
295,Abbigere,2,1130.0,2.0,46.33
296,Abbigere,2,795.0,1.0,32.6
297,Abbigere,8,3000.0,8.0,150.0
298,Abbigere,2,985.0,2.0,38.92
299,Abbigere,2,1000.0,2.0,41.0
300,Abbigere,2,995.0,2.0,40.8
301,Abbigere,2,1020.0,2.0,40.8
302,Akshaya Nagar,2,1388.0,2.0,57.0
303,Akshaya Nagar,2,1070.0,2.0,54.0
304,Akshaya Nagar,2,1280.0,2.0,58.0
305,Akshaya Nagar,3,1662.0,3.0,85.1
306,Akshaya Nagar,3,1897.0,3.0,120.0
307,Akshaya Nagar,3,1410.0,2.0,75.0
308,Akshaya Nagar,3,1360.0,2.0,85.0
309,Akshaya Nagar,3,1600.0,2.0,65.0
310,Akshaya Nagar,3,1410.0,2.0,80.0
311,Akshaya Nagar,3,1662.0,3.0,85.0
312,Akshaya Nagar,3,1662.0,3.0,85.5
313,Akshaya Nagar,2,1280.0,2.0,60.0
314,Akshaya Nagar,3,1666.0,3.0,95.0
315,Akshaya Nagar,3,1575.0,3.0,90.0
316,Akshaya Nagar,3,1430.0,2.0,75.0
317,Akshaya Nagar,3,1419.0,2.0,73.0
318,Akshaya Nagar,2,1280.0,2.0,60.0
319,Akshaya Nagar,2,1200.0,2.0,50.0
320,Akshaya Nagar,2,1092.0,2.0,60.0
321,Akshaya Nagar,3,1690.0,3.0,85.0
322,Akshaya Nagar,3,1700.0,3.0,80.0
323,Akshaya Nagar,3,1897.0,4.0,93.0
324,Akshaya Nagar,3,1884.0,3.0,98.0
325,Akshaya Nagar,2,1314.0,2.0,68.8
326,Akshaya Nagar,3,1690.0,3.0,85.0
327,Akshaya Nagar,2,1265.0,2.0,67.0
328,Akshaya Nagar,2,1126.0,2.0,55.0
329,Akshaya Nagar,3,2300.0,4.0,102.0
330,Akshaya Nagar,3,1662.0,3.0,90.0
331,Akshaya Nagar,3,1420.0,2.0,75.0
332,Akshaya Nagar,3,1412.0,2.0,88.0
333,Akshaya Nagar,3,1434.0,3.0,84.0
334,Akshaya Nagar,3,1890.0,4.0,100.0
335,Akshaya Nagar,3,2650.0,3.0,125.0
336,Akshaya Nagar,3,1419.0,2.0,87.0
337,Akshaya Nagar,2,1300.0,2.0,54.0
338,Akshaya Nagar,3,1690.0,3.0,85.0
339,Akshaya Nagar,2,1113.0,2.0,52.0
340,Akshaya Nagar,3,1820.0,4.0,95.0
341,Akshaya Nagar,2,1100.0,2.0,48.0
342,Akshaya Nagar,3,1896.0,3.0,102.0
343,Akshaya Nagar,2,1300.0,2.0,66.0
344,Akshaya Nagar,2,1225.0,2.0,68.0
345,Akshaya Nagar,2,1179.0,2.0,51.0
346,Akshaya Nagar,3,1421.0,2.0,73.0
347,Akshaya Nagar,3,1893.0,4.0,95.0
348,Akshaya Nagar,2,900.0,2.0,45.0
349,Ambalipura,2,1105.0,2.0,75.0
350,Ambalipura,3,1800.0,3.0,110.0
351,Ambalipura,2,1150.0,2.0,80.0
352,Ambalipura,2,1250.0,2.0,66.25
353,Ambalipura,2,1332.0,2.0,79.0
354,Ambalipura,3,1730.0,3.0,120.0
355,Ambalipura,3,3500.0,3.0,198.0
356,Ambalipura,2,1230.0,2.0,66.25
357,Ambalipura,2,1351.0,2.0,77.0
358,Ambalipura,4,2550.0,4.0,149.0
359,Ambalipura,3,1817.0,3.0,102.0
360,Ambalipura,4,2750.0,4.0,142.0
361,Ambalipura,2,1303.0,2.0,80.0
362,Ambalipura,3,1607.0,2.0,112.0
363,Ambalipura,1,770.0,1.0,43.82
364,Ambalipura,2,1700.0,2.0,76.0
365,Ambalipura,2,1060.0,2.0,58.5
366,Ambalipura,3,1650.0,3.0,100.0
367,Ambalipura,3,1607.0,2.0,112.0
368,Ambalipura,2,1198.0,2.0,80.0
369,Ambedkar Nagar,3,1935.0,4.0,130.0
370,Ambedkar Nagar,2,1424.0,2.0,90.0
371,Ambedkar Nagar,3,2225.0,4.0,169.0
372,Ambedkar Nagar,3,1862.0,3.0,120.0
373,Ambedkar Nagar,3,1850.0,4.0,139.0
374,Ambedkar Nagar,3,1936.0,4.0,126.0
375,Ambedkar Nagar,3,1862.0,3.0,119.0
376,Ambedkar Nagar,2,1424.0,2.0,90.0
377,Ambedkar Nagar,3,2150.0,4.0,125.0
378,Ambedkar Nagar,4,3530.0,4.0,290.0
379,Ambedkar Nagar,3,1856.0,3.0,120.0
380,Ambedkar Nagar,3,1852.0,3.0,130.0
381,Ambedkar Nagar,3,1850.0,4.0,120.0
382,Ambedkar Nagar,2,1367.0,2.0,86.0
383,Ambedkar Nagar,4,3565.0,4.0,255.0
384,Ambedkar Nagar,2,1409.0,2.0,95.0
385,Ambedkar Nagar,3,1950.0,4.0,120.0
386,Ambedkar Nagar,3,1921.0,4.0,129.0
387,Ambedkar Nagar,3,1920.0,4.0,121.0
388,Ambedkar Nagar,3,1935.0,4.0,125.0
389,Ambedkar Nagar,3,1852.0,4.0,122.0
390,Ambedkar Nagar,3,1950.0,4.0,120.0
391,Ambedkar Nagar,3,1852.0,3.0,125.0
392,Ambedkar Nagar,3,1850.0,4.0,121.0
393,Ambedkar Nagar,2,1425.0,2.0,94.0
394,Ambedkar Nagar,3,2395.0,4.0,150.0
395,Amruthahalli,2,900.0,2.0,40.0
396,Amruthahalli,2,1200.0,2.0,55.0
397,Amruthahalli,3,1900.0,3.0,135.0
398,Amruthahalli,2,924.0,2.0,45.0
399,Amruthahalli,2,900.0,2.0,60.0
400,Amruthahalli,2,1100.0,2.0,45.0
401,Amruthahalli,2,1200.0,2.0,55.0
402,Amruthahalli,3,1350.0,2.0,63.0
403,Amruthahalli,3,1605.0,3.0,65.0
404,Amruthahalli,3,1700.0,3.0,77.0
405,Amruthahalli,3,1450.0,2.0,85.0
406,Amruthahalli,2,1200.0,2.0,55.0
407,Amruthahalli,2,1250.0,2.0,79.0
408,Amruthahalli,2,1190.0,2.0,50.0
409,Amruthahalli,2,1202.0,2.0,65.0
410,Amruthahalli,2,1340.0,2.0,75.0
411,Amruthahalli,3,2650.0,4.0,175.0
412,Amruthahalli,3,1450.0,2.0,90.0
413,Amruthahalli,2,1025.0,2.0,42.0
414,Amruthahalli,1,485.0,1.0,19.5
415,Anandapura,2,1167.0,2.0,43.76
416,Anandapura,2,1000.0,2.0,55.0
417,Anandapura,2,1141.0,2.0,42.79
418,Anandapura,3,1576.0,3.0,59.1
419,Anandapura,2,1200.0,2.0,67.0
420,Anandapura,2,1200.0,2.0,58.0
421,Anandapura,2,1151.0,2.0,43.1
422,Anandapura,2,1141.0,2.0,42.75
423,Anandapura,2,900.0,2.0,48.0
424,Anandapura,4,1749.0,4.0,90.0
425,Anandapura,2,1151.0,2.0,42.9
426,Anandapura,3,1576.0,3.0,58.0
427,Anandapura,2,1250.0,2.0,45.0
428,Anandapura,2,1151.0,2.0,43.16
429,Anandapura,2,1200.0,2.0,58.0
430,Anandapura,3,1200.0,2.0,66.0
431,Anandapura,3,1415.0,2.0,74.0
432,Anandapura,2,1200.0,2.0,50.0
433,Anandapura,2,1141.0,2.0,50.0
434,Anandapura,3,1576.0,3.0,58.7
435,Ananth Nagar,1,500.0,1.0,14.0
436,Ananth Nagar,2,1100.0,2.0,31.5
437,Ananth Nagar,2,982.0,2.0,24.55
438,Ananth Nagar,1,500.0,2.0,14.0
439,Ananth Nagar,2,900.0,2.0,22.5
440,Ananth Nagar,2,908.0,2.0,26.0
441,Ananth Nagar,2,870.0,2.0,36.0
442,Ananth Nagar,2,937.0,2.0,35.0
443,Ananth Nagar,2,960.0,2.0,37.0
444,Ananth Nagar,1,500.0,1.0,14.0
445,Ananth Nagar,2,1000.0,2.0,29.7
446,Ananth Nagar,2,850.0,2.0,25.99
447,Ananth Nagar,2,902.0,2.0,25.26
448,Ananth Nagar,3,1470.0,3.0,54.0
449,Ananth Nagar,2,810.0,2.0,25.5
450,Ananth Nagar,2,890.0,2.0,27.0
451,Ananth Nagar,2,1200.0,2.0,36.0
452,Ananth Nagar,3,1319.0,3.0,37.75
453,Ananth Nagar,3,1319.0,3.0,42.0
454,Ananth Nagar,2,1000.0,2.0,25.0
455,Ananth Nagar,2,902.0,2.0,25.0
456,Ananth Nagar,2,930.0,2.0,25.99
457,Ananth Nagar,2,1074.0,2.0,26.85
458,Ananth Nagar,1,500.0,1.0,14.0
459,Ananth Nagar,2,1010.0,2.0,38.0
460,Ananth Nagar,2,992.0,2.0,24.8
461,Anekal,2,1200.0,1.0,36.0
462,Anekal,2,656.0,2.0,22.0
463,Anekal,2,620.0,2.0,22.0
464,Anekal,2,925.0,2.0,40.0
465,Anekal,1,530.0,1.0,18.0
466,Anekal,3,1800.0,3.0,68.0
467,Anekal,2,1200.0,1.0,36.0
468,Anekal,2,1035.0,2.0,38.3
469,Anekal,2,888.0,2.0,34.0
470,Anekal,2,1200.0,2.0,36.1
471,Anekal,2,700.0,1.0,19.4
472,Anekal,2,1200.0,1.0,36.0
473,Anekal,4,1200.0,2.0,36.0
474,Anekal,2,766.0,2.0,28.0
475,Anekal,2,620.0,1.0,23.5
476,Anekal,3,1150.0,3.0,45.0
477,Anekal,2,1200.0,1.0,36.0
478,Anekal,2,1200.0,1.0,36.0
479,Anekal,1,400.0,1.0,11.5
480,Anekal,1,456.0,1.0,15.0
481,Anekal,2,1200.0,1.0,36.0
482,Anekal,2,1200.0,1.0,36.0
483,Anekal,3,2400.0,4.0,95.0
484,Anekal,2,1200.0,2.0,36.1
485,Anekal,2,1200.0,2.0,36.1
486,Anekal,2,680.0,1.0,21.0
487,Anekal,1,420.0,1.0,12.5
488,Anekal,2,625.0,1.0,25.0
489,Anjanapura,4,1850.0,4.0,86.0
490,Anjanapura,2,1070.0,2.0,39.0
491,Anjanapura,3,1500.0,3.0,121.0
492,Anjanapura,2,1070.0,2.0,37.0
493,Anjanapura,2,950.0,2.0,40.0
494,Anjanapura,3,1280.0,2.0,45.0
495,Anjanapura,2,710.0,2.0,25.0
496,Anjanapura,3,1347.0,2.0,37.72
497,Anjanapura,2,950.0,2.0,32.0
498,Anjanapura,4,1800.0,4.0,55.0
499,Anjanapura,3,1843.0,3.0,87.54
500,Anjanapura,2,1076.0,2.0,30.13
501,Anjanapura,2,950.0,2.0,30.0
502,Ardendale,3,1750.0,3.0,100.0
503,Ardendale,4,3198.0,4.0,200.0
504,Ardendale,4,2422.0,4.0,160.0
505,Ardendale,3,1750.0,3.0,100.0
506,Ardendale,4,3200.0,4.0,205.0
507,Ardendale,3,1728.0,3.0,95.0
508,Ardendale,4,2062.0,3.0,140.0
509,Ardendale,4,2062.0,3.0,150.0
510,Ardendale,4,2800.0,4.0,140.0
511,Ardendale,2,1224.0,2.0,70.0
512,Ardendale,3,1650.0,3.0,82.0
513,Ardendale,4,2062.0,3.0,140.0
514,Ardendale,3,1650.0,3.0,82.0
515,Ardendale,2,1224.0,2.0,67.0
516,Ardendale,3,1723.0,3.0,95.0
517,Arekere,3,2060.0,3.0,140.0
